iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2000	0.9964	410	590	None	-0.41	-1.2024	-0.5231	0.4217	0.7192	{"0": 590, "-1": 410}	38.3059
3000	0.9946	441	559	None	-0.441	-1.2608	-0.8875	0.4814	0.7906	{"0": 559, "-1": 441}	57.5556
4009	0.9928	380	628	None	-0.3667	-0.6525	-0.6525	1.4133	0.8457	{"0": 628, "10": 1, "-1": 380}	76.8827
5009	0.991	472	528	None	-0.472	-1.4429	-1.7375	0.4801	0.7596	{"0": 528, "-1": 472}	95.454
6009	0.9892	438	562	None	-0.438	-1.405	-0.8731	0.4753	0.7708	{"0": 562, "-1": 438}	114.427
7009	0.9874	475	525	None	-0.475	-1.4367	-2.2994	0.4863	0.7953	{"0": 525, "-1": 475}	133.3311
8009	0.9856	417	583	None	-0.417	-1.3937	-0.5462	0.5273	0.7507	{"0": 583, "-1": 417}	152.2556
9010	0.9838	411	590	None	-0.4106	-3.3262	-3.3262	3.0071	1.0442	{"0": 590, "-1": 411}	171.0642
10010	0.982	486	514	None	-0.486	-1.6592	-0.4706	0.561	0.783	{"0": 514, "-1": 486}	189.9358
11010	0.9802	498	502	None	-0.498	-1.619	-3.3087	0.6061	0.8416	{"0": 502, "-1": 498}	209.4954
